NAME=Cool Muse,HARDWARE=INTERAXON-MUSE,FS=220,#CH=4,DATA=ffffi,PRESET=14,OSCPORT=5000,FILE=log20141210_195303.csv
A1,FP1,FP2,A2,STATUS
559.293,975.473,893.224,886.644,0.000
611.933,975.473,761.626,860.325,0.000
611.933,791.236,682.667,912.964,0.000
664.572,843.875,735.306,912.964,0.000
559.293,1001.793,919.544,912.964,0.000
717.211,975.473,893.224,1018.243,0.000
532.974,870.195,630.027,860.325,0.000
506.654,1001.793,708.987,834.005,0.000
585.613,975.473,761.626,912.964,0.000
664.572,843.875,761.626,991.923,0.000
717.211,975.473,735.306,991.923,0.000
532.974,1028.113,840.585,886.644,0.000
585.613,975.473,708.987,860.325,0.000
585.613,870.195,682.667,965.603,0.000
690.892,870.195,761.626,965.603,0.000
585.613,949.154,787.946,965.603,0.000
690.892,1001.793,840.585,1018.243,0.000
506.654,922.834,682.667,912.964,0.000
506.654,988.633,682.667,860.325,0.000
559.293,962.313,708.987,965.603,0.000
611.933,870.195,761.626,991.923,0.000
664.572,1001.793,708.987,991.923,0.000
480.334,1014.953,787.946,886.644,0.000
506.654,988.633,656.347,834.005,0.000
480.334,935.994,577.388,939.284,0.000
585.613,909.674,656.347,939.284,0.000
427.695,1054.432,708.987,912.964,0.000
559.293,1054.432,708.987,965.603,0.000
401.375,935.994,551.068,886.644,0.000
375.056,975.473,551.068,834.005,0.000
427.695,975.473,630.027,939.284,0.000
532.974,896.514,656.347,965.603,0.000
532.974,988.633,630.027,965.603,0.000
401.375,1028.113,682.667,860.325,0.000
454.015,949.154,577.388,834.005,0.000
480.334,896.514,472.109,965.603,0.000
559.293,909.674,524.749,991.923,0.000
375.056,1014.953,708.987,939.284,0.000
506.654,1054.432,682.667,965.603,0.000
375.056,975.473,656.347,939.284,0.000
375.056,949.154,603.708,860.325,0.000
401.375,949.154,603.708,991.923,0.000
480.334,909.674,708.987,1044.562,0.000
480.334,962.313,577.388,1018.243,0.000
401.375,1028.113,708.987,939.284,0.000
427.695,909.674,603.708,912.964,0.000
427.695,922.834,577.388,1018.243,0.000
559.293,909.674,682.667,1044.562,0.000
401.375,1028.113,708.987,991.923,0.000
480.334,1054.432,708.987,991.923,0.000
697.472,781.366,784.656,837.295,0.000
723.791,794.526,784.656,732.016,0.000
723.791,787.946,810.975,889.934,0.000
829.070,794.526,889.934,916.254,0.000
776.431,866.905,889.934,863.615,0.000
697.472,886.644,863.615,810.975,0.000
750.111,755.046,784.656,810.975,0.000
776.431,728.726,732.016,916.254,0.000
855.390,774.786,732.016,968.893,0.000
671.152,886.644,942.574,863.615,0.000
750.111,919.544,837.295,863.615,0.000
671.152,853.745,837.295,863.615,0.000
671.152,761.626,758.336,810.975,0.000
671.152,761.626,758.336,889.934,0.000
802.750,794.526,889.934,942.574,0.000
697.472,787.946,758.336,863.615,0.000
644.832,919.544,837.295,810.975,0.000
697.472,787.946,784.656,810.975,0.000
750.111,761.626,732.016,916.254,0.000
829.070,787.946,810.975,942.574,0.000
671.152,866.905,889.934,837.295,0.000
723.791,893.224,810.975,837.295,0.000
671.152,761.626,732.016,863.615,0.000
723.791,761.626,758.336,810.975,0.000
723.791,866.905,889.934,889.934,0.000
802.750,814.265,916.254,942.574,0.000
697.472,814.265,758.336,837.295,0.000
697.472,893.224,784.656,810.975,0.000
723.791,735.306,758.336,810.975,0.000
750.111,735.306,758.336,916.254,0.000
855.390,787.946,758.336,942.574,0.000
697.472,893.224,889.934,837.295,0.000
